SDF_ID,county,year,month,sale_date,sale_price,dom_reported,data_year,zip_code,price_segment
C06-2021-0025723,Boone,2021,2,2021-02-17,320000.0,0,2021,46052,entry
C06-2021-0025728,Boone,2021,1,2021-01-26,500000.0,0,2021,46077,move_up
C06-2021-0025729,Boone,2021,1,2021-01-29,296000.0,0,2021,46075,entry
C06-2021-0025730,Boone,2021,1,2021-01-29,465000.0,0,2021,46077,move_up
C06-2021-0025730,Boone,2021,1,2021-01-29,465000.0,0,2021,46077,move_up
C06-2021-0025732,Boone,2021,2,2021-02-17,285000.0,0,2021,46077,entry
C06-2021-0025733,Boone,2021,2,2021-02-18,385000.0,0,2021,46077,move_up
C06-2021-0025735,Boone,2021,2,2021-02-09,385000.0,0,2021,46077,move_up
C06-2021-0025736,Boone,2021,2,2021-02-16,357500.0,0,2021,46077,entry
C06-2021-0025737,Boone,2021,2,2021-02-12,203000.0,0,2021,46077,entry
C06-2021-0025739,Boone,2021,2,2021-02-10,225502.0,0,2021,46075,entry
C06-2021-0025740,Boone,2021,2,2021-02-12,533465.0,0,2021,46077,move_up
C06-2021-0025743,Boone,2021,2,2021-02-18,55000.0,0,2021,46077,entry
C06-2021-0025745,Boone,2021,1,2021-01-28,328090.0,0,2021,46077,entry
C06-2021-0025746,Boone,2021,2,2021-02-12,140000.0,0,2021,46052,entry
C06-2021-0025747,Boone,2021,2,2021-02-18,325000.0,0,2021,46069,entry
C06-2021-0025749,Boone,2021,2,2021-02-17,78500.0,0,2021,46102,entry
C06-2021-0025750,Boone,2021,2,2021-02-12,135000.0,0,2021,46077,entry
C06-2021-0025756,Boone,2021,2,2021-02-19,962500.0,0,2021,46077,move_up
C06-2021-0025757,Boone,2021,2,2021-02-19,529900.0,0,2021,46077,move_up
C06-2021-0025758,Boone,2021,2,2021-02-19,500000.0,0,2021,46077,move_up
C06-2021-0025759,Boone,2021,2,2021-02-23,355000.0,10,2021,46077,entry
C06-2021-0025760,Boone,2021,2,2021-02-24,340000.0,0,2021,46077,entry
C06-2021-0025761,Boone,2021,2,2021-02-23,195000.0,0,2021,46077,entry
C06-2021-0025761,Boone,2021,2,2021-02-23,195000.0,0,2021,46077,entry
C06-2021-0025762,Boone,2021,2,2021-02-17,121500.0,0,2021,46052,entry
C06-2021-0025763,Boone,2021,2,2021-02-18,244768.0,0,2021,46075,entry
C06-2021-0025764,Boone,2021,2,2021-02-19,286834.0,0,2021,46075,entry
